,Date,Title,Link,Director,Cast,Production,Reception,Plot,Writer,Music Director,Cinematographer,Reception Sentiment,Month,Reception Score,TSNE-2D-one,TSNE-2D-two
0,2023-01-06,Dear Death,/wiki/Dear_Death,Prem Kumar,"Santhosh Prathap, Jay, Sridhar Venkatesan",SNR Films,"The film was released on 6 January 2023 across Tamil Nadu. A critic formThinaboomigave the film a positive review, praising the film's concept.[10]A reviewer fromThanthi TValso presented a favourable review of the film.[11]",,Sridhar Venkatesan,Naveen Annamalai,Ashok Swaminathan,0.7184,1,5,10.081023,5.122059
1,2023-01-06,Vindhya Victim Verdict V3,/wiki/Vindhya_Victim_Verdict_V3,Amudhavanan,"Varalaxmi Sarathkumar,Paavana Gowda,Esther Anil",Team A Ventures,"The film was released on 6 January 2023 across Tamil Nadu. A reviewer fromDina Thanthigave the film a mixed review.[3]The critic fromTimes of Indiawrote that ""While there are a few intriguing moments, the narrative is tad slow and the emotional sequences fail to hit us hard enough"".[4]A reviewer fromMaalai Malargave a mixed review.[5]","V3is a fight for their rights and against an injustice on a gang rape-murder and encountered case, achieving a poetic justice with the help of the system which fails initially on due to the undue pressure of representatives and thy people",P. Amudhavanan,Allen Sebastian,Siva Prabhu,-0.6597,1,1,-5.9587836,-9.412486
2,2023-01-11,Thunivu,/wiki/Thunivu,H. Vinoth,"Ajith Kumar,Manju Warrier,Samuthirakani",Bayview Projects LLP,Thunivureceived mixed reviews from critics.[104],"Radha, a dreaded gangster, and his men plan a heist at ""Your Bank"", one of the biggest privately owned banks inChennai, with the support ofACPRamachandran. They plan to rob₹500 crores on 21 May, coinciding with theGovernor's party event at his residence. On the day of the heist, Radha and his men hijack the bank, only to discover that the bank is already hijacked by a mysterious man nicknamed Michael Jackson and his partner, Kanmani. The commandos arrive inside the bank but get defeated. Jackson later makes a deal with Radha to help him rob₹5000 crores, in exchange for a share of the money, for which Radha and his men reluctantly agree. When Radha finds that the bank locker contains only₹1,510 crores, they decide to kill Jackson, only to be defeated.",H. Vinoth,Ghibran,Nirav Shah,0.0,1,3,4.510567,3.099094
3,2023-01-11,Varisu,/wiki/Varisu,Vamshi Paidipally,"Vijay,R. Sarathkumar,Srikanth,Shaam",Sri Venkateswara Creations,The film received mixed reviews from critics.[100],"Vijay is the youngest son of an eminent billionaireentrepreneurRajendran Palanisamy. Vijay is disowned and thrown out of the house as he refused to join the family business, instead deciding to launch a food deliverystartup. Seven years later, Rajendran is diagnosed withstage IVpancreatic cancerwith only 8 to 10 months to live. He decides to reveal his terminal condition and anoint one of his two elder sons Jai or Ajay as his successor, before his impending death.",Vamshi PaidipallyHariAshishor SolomonVivek Velmurugan,Thaman S,Karthik Palani,0.0,1,3,0.9232203,10.977918
4,2023-01-20,Vallavanukkum Vallavan,/wiki/Vallavanukkum_Vallavan,Vijay Tesingu,"Simha,Sshivada,Pooja Devariya",Sri Thenandal Films,,"Two swindlers, Alexander and Napoleon, convinced that money can resolve all their issues, plan to extort funds from evildoers. However, their troubles escalate when they encounter a crazy police officer.",Vijay Tesingu,Raghu Dixit,Padmesh,,1,5,10.814638,-4.250064
5,2023-01-26,Beginning,/wiki/Beginning_(2023_film),Jagan Vijaya,"Vinoth Kishan,Gouri Kishan,Rohini",Lefty Manual Creations,"The film was released on 26 January 2023 across Tamil Nadu. A critic fromTimes of Indiagave the film a middling review, noting ""more than the content or its form, it's the lead actors who save the film"".[2]A reviewer fromCinema Expresswrote ""impeccable performances, technical brilliance let down by uninspiring writing"", adding that ""Beginningwould have been an extremely inferior film in the hands of amateur leads. But Vinoth and Gauri deliver take care of the heavy lifting"".[3]A reviewer formMaalai Malargave the film 3.25 out of 5 stars, praising the performance of the lead actors.[4]",,,K. S. Sundaramurthy,Veerakumar,0.9012,1,5,-0.7998875,2.5167708
6,2023-01-27,Meippada Sei,/wiki/Meippada_Sei,Velan,"Aadhav Balaji, Madhunika,Jayapalan",SR Harshith Pictures,"The film was released on 26 January 2023 across Tamil Nadu. A critic fromDinathanthiwrote ""the story moves slowly in the beginning and then picks up pac"".[7]A reviewer fromMaalai Malargave the film 3 out of 5 sta/rs, noting that ""the cinematographer has shot the scenes clearly"" and that ""he has made the song scenes enjoyable and the fight scenes scary"".[8]",,,Bharani,R. Vel,0.2263,1,4,-4.42811,4.9153976
7,2023-01-28,Kalathil Vendraal,,Dharmar Periyasamy,"Dharmar Periyasamy, Idhayarooban, Uthiriyan",Thaaimann Thiraiyagam,,,,,,,1,5,0.66143024,-8.088161
8,2023-02-03,Bommai Nayagi,/wiki/Bommai_Nayagi,Shan,"Yogi Babu,Hari Krishnan, Subatra Robert",Neelam Productions,"Logesh Balachandran ofThe Times of Indiawrote, ""Bommai Nayagiis yet again an effective social drama that addresses a sensitive issue in the most sensible way. It has a drama that affects us deeply. Worth a watch"".[10]","Velu (Yogi Babu) is a simple man whose entire world revolves around his family and the tea stall he works in. One day while his entire family is having a fun time at the Bommai Nayagi Amman temple festival, his daughter (Bommai Nayagi) goes home to bring her piggy bank and offers the money she's saved to the deity. But a couple of drunkards abuse her on the way back, leaving her unconscious. The rest of the film deals with Velu's fight to bring justice to Bommai Nayagi.",Shan,Sundaramurthy K S,Athisayaraj R,0.6478,2,5,8.579284,2.2024581
9,2023-02-03,Michael,/wiki/Michael_(2023_film),Ranjit Jeyakodi,"Sundeep Kishan,Vijay Sethupathi,Divyansha Kaushik",Karan C Productions,"Neeshita Nyayapati ofThe Times of Indiagave 3 out of 5 stars and wrote ""Michaelis a genre film that achieves what it sets out to do – tell a dark coming-of-age tale of a young man who knows what it means to be human for better or worse. Watch it if that’s your kind of cinema.""[11]Latha Srinivasan ofIndia Todaygave 2.5 out of 5 stars and wrote ""Michaelis a gangster flick that’s more style than story for the most part. Having said that, Sundeep Kishan, Vijay Sethupathi and Sam CS are the absolute highlights of this film.""[12]","During the 1980s, Michael was a gangster. ABombay-based crime boss, Gurunath, a Bombay-basedcrime boss, guides him and his right-hand man, Swamy, raises him. However, Gurunath's son Amarnath and his wife Charulatha always rebuff him. One day, Gurunath gets attacked by a gang, where he learns that his rival Rathan is behind the attack. Gurunath sends Michael toDelhito kill Rathan and his daughter Theera. However, Michael falls in love with Theera and decides not to kill Rathan. One night, Michael, Theera and Rathan are captured and brought to Amarnath, who reveals that he orchestrated the attack on his father to take over his position and also tells Michael that Theera was earlier pretending to love him, but now she truly loves Michael.",Ranjit Jeyakodi,Sam C. S.,Kiran Koushik,-0.0516,2,3,2.470464,-2.0467052
